epoch,train_loss,valid_loss
1,2.419,1.182
2,0.900,0.733
3,0.558,0.464
4,0.403,0.349
5,0.305,0.326
6,0.245,0.278
7,0.197,0.251
8,0.158,0.231
9,0.134,0.228
10,0.114,0.215
11,0.095,0.204
12,0.083,0.215
13,0.071,0.187
14,0.062,0.181
15,0.055,0.178
16,0.047,0.191
17,0.041,0.170
18,0.037,0.185
19,0.033,0.170
20,0.029,0.153
21,0.026,0.152
22,0.024,0.155
23,0.023,0.157
24,0.021,0.149
25,0.019,0.149
26,0.016,0.148
27,0.016,0.143
28,0.014,0.148
29,0.013,0.145
30,0.011,0.141
31,0.011,0.141
32,0.010,0.142
33,0.009,0.142
34,0.009,0.137
35,0.009,0.143
36,0.008,0.141
37,0.008,0.140
38,0.007,0.157
39,0.006,0.141
